descDoenca,area_damaged,canker_lesion,crop_hist,date,external_decay,fruit_spots,fruiting_bodies,fruit_pods,germination,hail,int_discolor,leaf_malf,leaf_mild,leaf_shread,leafspots_halo,leafspot_size,leafspots_marg,leaves,lodging,mold_growth,mycelium,plant_growth,plant_stand,precip,roots,sclerotia,seed,seed_discolor,seed_size,seed_tmt,severity,shriveling,stem,stem_cankers,temp
diaporthe-stem-canker,low-areas,Brown,same-1st-yr,Outubro,firm-and-dry,dna,Present,Norm,90-100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-lst-two-yrs,Agosto,firm-and-dry,dna,Present,Norm,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,dna,same-1st-yr,Julho,firm-and-dry,dna,Present,Norm,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,dna,same-1st-yr,Julho,firm-and-dry,dna,Present,Norm,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-lst-two-yrs,Outubro,firm-and-dry,dna,Present,Norm,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,dna,same-lst-sev-yrs,Setembro,firm-and-dry,dna,Present,Norm,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-lst-two-yrs,Setembro,firm-and-dry,dna,Present,Norm,90-100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-1st-yr,Agosto,firm-and-dry,dna,Present,Norm,lt-80%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-lst-sev-yrs,Outubro,firm-and-dry,dna,Present,Norm,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Above-sec-nde,norm
diaporthe-stem-canker,scattered,Brown,same-lst-two-yrs,Agosto,firm-and-dry,dna,Present,Norm,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,Above-sec-nde,norm
charcoal-rot,whole-field,tan,same-1st-yr,Outubro,Absent,dna,Absent,Norm,90-100%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Absent,gt-norm
charcoal-rot,whole-field,tan,same-1st-yr,Agosto,Absent,dna,Absent,Norm,80-89%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Absent,norm
charcoal-rot,upper-areas,tan,same-1st-yr,Julho,Absent,dna,Absent,Norm,90-100%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Absent,norm
charcoal-rot,whole-field,tan,same-lst-sev-yrs,Outubro,Absent,dna,Absent,Norm,90-100%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Absent,norm
charcoal-rot,whole-field,tan,same-1st-yr,Outubro,Absent,dna,Absent,Norm,80-89%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Absent,gt-norm
charcoal-rot,whole-field,tan,same-lst-sev-yrs,Setembro,Absent,dna,Absent,Norm,lt-80%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,Absent,gt-norm
charcoal-rot,upper-areas,tan,diff-1st-year,Outubro,Absent,dna,Absent,Norm,90-100%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Absent,gt-norm
charcoal-rot,upper-areas,tan,same-lst-two-yrs,Agosto,Absent,dna,Absent,Norm,80-89%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Absent,norm
charcoal-rot,upper-areas,tan,same-lst-two-yrs,Julho,Absent,dna,Absent,Norm,lt-80%,Yes,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Absent,gt-norm
charcoal-rot,upper-areas,tan,same-lst-two-yrs,Setembro,Absent,dna,Absent,Norm,lt-80%,No,Black,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,Normal,lt-normal,Norm,Present,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,Absent,gt-norm
rhizoctonia-root-rot,low-areas,Brown,same-lst-two-yrs,Maio,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Present,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-1st-yr,Maio,firm-and-dry,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-lst-sev-yrs,Julho,firm-and-dry,dna,Absent,dna,80-89%,No,None,Absent,Absent,absent,absent,dna,dna,Norm,No,Absent,Present,Abnorm,Normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,diff-1st-year,Abril,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,pot-severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-1st-yr,Abril,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-lst-sev-yrs,Maio,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,diff-1st-year,Maio,firm-and-dry,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-lst-two-yrs,Junho,firm-and-dry,dna,Absent,dna,80-89 %,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-1st-yr,Maio,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
rhizoctonia-root-rot,low-areas,Brown,same-1st-yr,Junho,firm-and-dry,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Norm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Abril,firm-and-dry,dna,Absent,dna,90-100%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-sec-nde,gt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Maio,Absent,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-soil,lt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,gt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-sec-nde,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Abril,Absent,dna,Absent,dna,90-100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,Normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Julho,Absent,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-soil,lt-norm
phytophthora-rot,low-areas,dk-brown-blk,diff-1st-year,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Junho,Absent,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,lt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Abril,Absent,dna,Absent,dna,90-100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Abril,firm-and-dry,dna,Absent,dna,90-100%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,lt-normal,Normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Julho,Absent,dna,Absent,dna,90-100%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-soil,lt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-sec-nde,gt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Abril,Absent,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,gt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Junho,firm-and-dry,dna,Absent,dna,lt-80%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Abril,Absent,dna,Absent,dna,lt-80%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,pot-severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,diff-1st-year,Maio,Absent,dna,Absent,dna,80-89%,Yes,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Yes,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,fungicida,severe,Absent,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,diff-1st-year,Maio,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-sec-nde,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-sec-nde,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-two-yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,gt-norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Maio,firm-and-dry,dna,Absent,dna,80-89%,No,None,Absent,Absent,absent,absent,dna,dna,Abnorm,No,Absent,Absent,Abnorm,lt-normal,gt-normal,Norm,Absent,Norm,Absent,Norm,none,severe,Absent,Abnorm,below-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-lst-sev-yrs,Julho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Absent,Absent,absent,absent,dna,dna,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,Normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,norm
phytophthora-rot,low-areas,dk-brown-blk,same-1st-yr,Junho,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,None,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Desconhecido,Desconhecido,Absent,Abnorm,lt-normal,gt-normal,Rotted,Absent,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Abnorm,Above-soil,gt-norm
